emissions,reading_date
0.078362,2026-01-25
0.444811,2026-01-31
0.408583,2025-12-06
0.245953,2025-11-30
0.186894,2025-10-17
0.195213,2025-09-16
0.258280,2026-01-27
0.223971,2025-08-22
0.151130,2026-02-02
0.142070,2025-09-02
0.477377,2025-10-15
0.076017,2025-11-16
0.407406,2025-12-30
0.072186,2025-10-03
0.054417,2025-11-30
0.247172,2026-01-10
0.146352,2025-11-10
0.287576,2025-09-21
0.080007,2025-09-06
0.102230,2025-11-09
0.468014,2025-12-02
0.057194,2025-12-20
0.190091,2026-01-09
0.464253,2025-09-13
0.028420,2025-09-08
0.016581,2025-10-23
0.479515,2026-01-07
0.486006,2025-11-05
0.481210,2026-01-24
0.057489,2026-01-30
0.454769,2025-12-05
0.471409,2025-09-05
0.219157,2025-08-23
0.385373,2026-01-20
0.297485,2026-01-20
0.165161,2025-12-28
0.073649,2025-12-13
0.483092,2025-10-13
0.417535,2025-09-11
0.220243,2025-09-25
0.481274,2026-01-28
0.230320,2026-01-19
0.162900,2025-10-18
0.186895,2025-09-22
0.433754,2025-10-03
0.073302,2025-12-11
0.060854,2025-11-03
0.445029,2025-12-05
0.322331,2025-09-26
0.161817,2025-11-20
0.426608,2025-11-17
0.138699,2025-11-19
0.249468,2025-10-21
0.384769,2025-10-01
0.204932,2025-12-08
0.336795,2025-11-26
0.265705,2025-11-15
0.200639,2025-11-03
0.286043,2025-12-21
0.310928,2026-01-12
0.414289,2025-09-11
0.440089,2025-10-12
0.387023,2025-10-22
0.483417,2026-01-01
0.077524,2026-02-05
0.041641,2026-01-10
0.348172,2025-08-23
0.144900,2025-10-29
0.057001,2026-01-08
0.342100,2025-08-29
0.200200,2025-08-26
0.140648,2025-11-09
0.388801,2025-12-01
0.154726,2025-09-11
0.434205,2025-11-15
0.300960,2025-11-17
0.172081,2025-11-22
0.042904,2025-12-13
0.135580,2025-11-22
0.183760,2025-08-26
0.304574,2025-09-20
0.403180,2025-10-31
0.367477,2025-09-26
0.319584,2026-01-07
0.029273,2025-09-05
0.016443,2025-09-21
0.054896,2025-10-03
0.315131,2025-11-15
0.383635,2026-01-30
0.060792,2025-10-11
0.487743,2025-10-05
0.289891,2025-12-18
0.281476,2025-10-19
0.047404,2026-01-17
0.279120,2026-01-02
0.249677,2025-09-03
0.081944,2025-11-18
0.384357,2026-02-01
0.165783,2025-12-04
0.203229,2026-02-01
0.086238,2025-09-05
0.155781,2025-11-06
0.418517,2025-12-01
0.410518,2025-10-16
0.021829,2025-11-22
0.073128,2026-01-28
0.101011,2025-12-16
0.131251,2025-12-19
0.339250,2025-09-03
0.387811,2025-09-18
0.447835,2026-01-20
0.055484,2025-09-07
0.071717,2025-12-08
0.428628,2025-10-31
0.354734,2025-10-17
0.137981,2025-09-12
0.103153,2025-09-21
0.225438,2025-12-31
0.410402,2025-11-06
0.266020,2025-12-11
0.112121,2025-12-08
0.272518,2026-02-12
0.154206,2025-09-23
0.262584,2026-02-03
0.086104,2026-01-15
0.461487,2025-10-30
0.350953,2025-11-22
0.289884,2025-11-08
0.081979,2026-01-10
0.404030,2025-11-26
0.322928,2025-12-25
0.408953,2025-10-01
0.472189,2025-10-12
0.069232,2025-10-22
0.030003,2025-10-24
0.257999,2026-01-26
0.310332,2025-11-09
0.257415,2025-09-26
0.210259,2025-11-29
0.345396,2025-10-15
0.138568,2025-08-25
0.213538,2026-01-22
0.330730,2025-10-25
0.110080,2025-10-22
0.162217,2025-08-21
0.410880,2025-12-05
0.405424,2025-08-28
0.463139,2026-02-11
0.093167,2025-11-11
0.266459,2026-02-11
0.249866,2025-09-08
0.121075,2025-11-08
0.144300,2025-10-06
0.123906,2026-01-14
0.311315,2025-09-14
0.222275,2026-01-19
0.205689,2025-10-17
0.152946,2025-10-27
0.488460,2025-11-05
0.450747,2025-09-30
0.322087,2025-10-08
0.261143,2025-09-19
0.439208,2025-10-25
0.475010,2026-01-10
0.417248,2025-09-25
0.011375,2025-10-11
0.480056,2025-10-11
0.250736,2025-10-11
0.096250,2025-09-01
0.357532,2026-02-03
0.477732,2025-12-19
0.160052,2025-10-06
0.101187,2026-02-04
0.094932,2025-12-05
0.176828,2025-09-05
0.433345,2026-01-31
0.046358,2025-11-20
0.205985,2025-09-16
0.087991,2026-01-07
0.414553,2025-11-26
0.211383,2025-09-01
0.461174,2026-01-24
0.222811,2025-09-07
0.090661,2025-12-06
0.231380,2025-09-20
0.369601,2025-12-21
0.093989,2025-10-01
0.376649,2025-08-26
0.151309,2026-01-24
0.367334,2025-12-24
0.270976,2025-11-03
0.369532,2026-01-12
0.224241,2025-09-15
0.294304,2025-11-19
0.382536,2026-02-09
0.325668,2026-01-09
0.480255,2025-10-18
0.005064,2025-09-19
0.396921,2025-09-05
0.352911,2026-01-18
0.006416,2026-01-09
0.240523,2025-11-30
0.096200,2025-10-12
0.410681,2025-08-27
0.081452,2025-10-06
0.019627,2026-01-15
0.097938,2025-09-16
0.137860,2025-10-25
0.312996,2025-10-14
0.173042,2026-01-26
0.193565,2026-01-04
0.336310,2025-08-19
0.003744,2026-01-14
0.373405,2026-01-27
0.108663,2025-09-10
0.150065,2025-10-20
0.161769,2025-10-02
0.118261,2025-12-25
0.260691,2025-09-18
0.282773,2025-12-14
0.485123,2025-09-07
0.420492,2026-01-29
0.147969,2026-02-09
0.324693,2025-09-28
0.409858,2026-01-26
0.379304,2025-11-16
0.367335,2025-10-19
0.084161,2025-10-26
0.317442,2026-01-06
0.296786,2025-10-13
0.121216,2025-12-16
0.295071,2025-11-02
0.417706,2025-12-20
0.424425,2025-12-16
0.051860,2025-10-07
0.160470,2025-08-31
0.176391,2025-10-30
0.318818,2025-09-16
0.382494,2025-12-22
0.398680,2025-11-21
0.414044,2025-11-23
0.313510,2026-02-10
0.410869,2025-12-12
0.011836,2025-10-16
0.285615,2025-12-03
0.492693,2026-01-18
0.396972,2025-09-13
0.159721,2025-09-22
0.160654,2025-10-26
0.384715,2026-02-06
0.144123,2025-08-26
0.055046,2026-02-04
0.273219,2026-01-09
0.091708,2026-02-12
0.471933,2025-08-31
0.169797,2025-09-30
0.484171,2025-12-09
0.104119,2025-11-03
0.489606,2025-12-31
0.404771,2025-12-19
0.059589,2025-12-16
0.451067,2025-10-05
0.003505,2025-12-04
0.012921,2025-08-25
0.052578,2025-10-25
0.056008,2025-10-29
0.437502,2026-01-19
0.224536,2025-12-30
0.160929,2025-09-29
0.021191,2025-10-24
0.109829,2025-10-14
0.456719,2026-01-06
0.393530,2025-08-27
0.372356,2026-02-02
0.214109,2025-12-20
0.259649,2025-10-10
0.446321,2026-01-11
0.290543,2025-11-07
0.130356,2025-10-20
0.151389,2025-10-03
0.427971,2025-09-30
0.167251,2025-09-10
0.141765,2026-01-27
0.292740,2025-08-20
0.332085,2025-12-23
0.464016,2025-08-17
0.310906,2025-12-18
0.474216,2025-11-04
0.138068,2025-10-18
0.472418,2025-12-13
0.359252,2025-09-24
0.211414,2026-01-21
0.357330,2025-09-22
0.338544,2025-09-25
0.361344,2026-01-29
0.079783,2025-10-10
0.024200,2025-11-29
0.270629,2025-09-28
0.260568,2025-12-05
0.419551,2025-11-14
0.175134,2026-01-07
0.131911,2026-02-06
0.033800,2025-12-13
0.091856,2026-01-23
0.477427,2025-11-17
0.395863,2026-01-30
0.233794,2025-11-04
0.295894,2025-12-23
0.367157,2025-08-30
0.327183,2025-08-24
0.098991,2025-10-29
0.030130,2025-09-03
0.273931,2025-09-18
0.380508,2025-09-27
0.423629,2025-12-17
0.325006,2026-01-10
0.312608,2025-10-03
0.478160,2025-10-10
0.123446,2025-11-01
0.408326,2026-02-02
0.488326,2025-11-02
0.424192,2025-12-15
0.166519,2026-01-23
0.001084,2025-08-24
0.366131,2025-11-23
0.480296,2025-09-24
0.407617,2025-12-24
0.416469,2025-12-16
0.033760,2026-01-31
0.276326,2025-10-15
0.348934,2025-11-23
0.085210,2025-12-16
0.029469,2025-09-13
0.073435,2025-09-22
0.073100,2026-02-05
0.299500,2025-11-08
0.387350,2025-10-09
0.046154,2025-12-18
0.155484,2025-09-29
0.292665,2025-11-16
0.045833,2025-12-16
0.028178,2025-09-01
0.011757,2025-11-15
0.385956,2025-10-02
0.477941,2025-09-19
0.257809,2026-01-18
0.295906,2025-12-26
0.086387,2025-09-07
0.366898,2025-12-07
0.459840,2025-09-21
0.320426,2026-01-26
0.492589,2025-11-03
0.168969,2026-02-09
0.019451,2025-09-05
0.041498,2026-02-09
0.035687,2025-11-03
0.184059,2025-10-12
0.131862,2025-09-29
0.095022,2026-01-08
0.290420,2026-02-07
0.074232,2025-11-21
0.223278,2025-11-16
0.393942,2025-11-02
0.236798,2025-09-20
0.408687,2025-11-11
0.359937,2025-11-19
0.268202,2026-01-13
0.090171,2025-09-09
0.409808,2025-08-21
0.062830,2025-12-02
0.198084,2026-02-12
0.291132,2025-12-04
0.474723,2025-10-15
0.245722,2025-11-13
0.277016,2026-01-31
0.165541,2026-01-16
0.355840,2025-10-30
0.095989,2025-09-02
0.052511,2025-11-11
0.342430,2025-10-01
0.204210,2025-08-18
0.428186,2025-08-29
0.120637,2026-01-20
0.358078,2026-01-19
0.170581,2025-11-06
0.464579,2025-08-19
0.305176,2025-09-10
0.099051,2025-12-12
0.381656,2026-01-14
0.343664,2025-12-08
